Вес;Метка времени;Дата;Время;Импеданс;Индекс массы тела;Вода;Мышцы;Жир;Масса тела;Висцеральный жир;BMR
60.4;1564639800000;1 авг. 2019 г.;11:10;510;20.9;57.900001525878906;48.29999923706055;15.600000381469727;2.6;5;1412
63.1;1564677540000;1 авг. 2019 г.;21:39;65533;0.0;57.17945861816406;0.0;16.210691452026367;0.0;0;0
61.0;1564680720000;1 авг. 2019 г.;22:32;492;21.1;58.79999923706055;49.70000076293945;14.199999809265137;2.7;5;1421
60.1;1564728480000;2 авг. 2019 г.;11:48;515;20.8;58.0;48.20000076293945;15.399999618530273;2.6;5;1408
60.8;1564816320000;3 авг. 2019 г.;12:12;497;21.0;57.70000076293945;48.5;15.800000190734863;2.7;5;1418
62.0;1564949880000;5 авг. 2019 г.;01:18;485;21.5;58.29999923706055;50.0;15.0;2.7;6;1436
62.0;1565116920000;6 авг. 2019 г.;23:42;482;21.5;58.29999923706055;50.0;15.0;2.7;6;1436
60.8;1565326980000;9 авг. 2019 г.;10:03;500;21.0;57.70000076293945;48.5;15.899999618530273;2.7;5;1418
61.5;1565387880000;10 авг. 2019 г.;02:58;481;21.3;58.599998474121094;49.900001525878906;14.600000381469727;2.7;6;1429
60.9;1565459400000;10 авг. 2019 г.;22:50;480;21.1;57.79999923706055;48.70000076293945;15.699999809265137;2.7;5;1420
61.8;1565547120000;11 авг. 2019 г.;23:12;489;21.4;58.400001525878906;49.900001525878906;14.899999618530273;2.7;6;1433
62.3;1565726640000;14 авг. 2019 г.;01:04;65533;0.0;57.44340133666992;0.0;15.878512382507324;0.0;0;0
61.2;1565804100000;14 авг. 2019 г.;22:35;478;21.2;58.79999923706055;49.79999923706055;14.300000190734863;2.7;5;1424
60.7;1565844780000;15 авг. 2019 г.;09:53;514;21.0;57.70000076293945;48.400001525878906;15.899999618530273;2.6;5;1417
61.7;1565900160000;16 авг. 2019 г.;01:16;475;21.3;58.5;50.0;14.699999809265137;2.7;6;1432
62.0;1565995320000;17 авг. 2019 г.;03:42;517;21.5;58.0;49.79999923706055;15.399999618530273;2.7;6;1436
61.6;1566057660000;17 авг. 2019 г.;21:01;485;21.3;58.5;49.900001525878906;14.699999809265137;2.7;6;1430
61.6;1566190740000;19 авг. 2019 г.;09:59;497;21.3;58.400001525878906;49.79999923706055;14.800000190734863;2.7;6;1430
61.6;1566331200000;21 авг. 2019 г.;01:00;487;21.3;58.5;49.900001525878906;14.699999809265137;2.7;6;1430
61.6;1566406080000;21 авг. 2019 г.;21:48;475;21.3;58.599998474121094;49.900001525878906;14.600000381469727;2.7;6;1430
61.3;1566505380000;23 авг. 2019 г.;01:23;482;21.2;58.70000076293945;49.79999923706055;14.399999618530273;2.7;6;1426
61.3;1566678540000;25 авг. 2019 г.;01:29;510;21.2;58.5;49.599998474121094;14.699999809265137;2.7;6;1426
61.6;1566764460000;26 авг. 2019 г.;01:21;500;21.3;58.400001525878906;49.79999923706055;14.899999618530273;2.7;6;1430
61.7;1567021440000;29 авг. 2019 г.;00:44;494;21.3;58.400001525878906;49.900001525878906;14.899999618530273;2.7;6;1432
61.7;1567106520000;30 авг. 2019 г.;00:22;504;21.3;58.29999923706055;49.79999923706055;15.0;2.7;6;1432
60.8;1567238580000;31 авг. 2019 г.;13:03;507;0.0;57.95702362060547;0.0;15.255674362182617;0.0;0;0
62.1;1567273680000;31 авг. 2019 г.;22:48;486;0.0;57.51045608520508;0.0;15.795466423034668;0.0;0;0
61.4;1567323420000;1 сент. 2019 г.;12:37;501;0.0;57.748565673828125;0.0;15.504810333251953;0.0;0;0
63.1;1567457580000;3 сент. 2019 г.;01:53;461;0.0;57.17945861816406;0.0;16.210691452026367;0.0;0;0
63.1;1567542900000;4 сент. 2019 г.;01:35;473;0.0;57.17945861816406;0.0;16.210691452026367;0.0;0;0
62.4;1567628520000;5 сент. 2019 г.;01:22;499;0.0;57.410037994384766;0.0;15.920035362243652;0.0;0;0
62.8;1567715640000;6 сент. 2019 г.;01:34;473;21.7;57.900001525878906;50.29999923706055;15.600000381469727;2.7;6;1448
61.5;1568005380000;9 сент. 2019 г.;10:03;487;21.3;58.599998474121094;49.79999923706055;14.600000381469727;2.7;6;1429
62.2;1568148060000;11 сент. 2019 г.;01:41;500;21.5;58.099998474121094;50.0;15.399999618530273;2.7;6;1439
61.9;1568230260000;12 сент. 2019 г.;00:31;515;21.4;58.099998474121094;49.79999923706055;15.300000190734863;2.7;6;1435
61.9;1568318460000;13 сент. 2019 г.;01:01;499;21.4;58.20000076293945;49.900001525878906;15.100000381469727;2.7;6;1435
61.4;1568443260000;14 сент. 2019 г.;11:41;480;21.2;58.70000076293945;49.900001525878906;14.5;2.7;6;1427
61.9;1568503260000;15 сент. 2019 г.;04:21;481;21.4;58.400001525878906;50.0;14.899999618530273;2.7;6;1435
61.9;1568609940000;16 сент. 2019 г.;09:59;490;21.4;58.29999923706055;49.900001525878906;15.0;2.7;6;1435
61.9;1568664780000;17 сент. 2019 г.;01:13;487;0.0;57.577938079833984;0.0;15.712423324584961;0.0;0;0
62.3;1568750460000;18 сент. 2019 г.;01:01;485;21.6;58.099998474121094;50.099998474121094;15.300000190734863;2.7;6;1441
62.3;1568838720000;19 сент. 2019 г.;01:32;500;0.0;57.44340133666992;0.0;15.878512382507324;0.0;0;0
61.6;1568925000000;20 сент. 2019 г.;01:30;512;21.3;58.29999923706055;49.70000076293945;15.0;2.7;6;1430
62.1;1569014220000;21 сент. 2019 г.;02:17;493;21.5;58.20000076293945;50.0;15.199999809265137;2.7;6;1438
62.1;1569096540000;22 сент. 2019 г.;01:09;498;21.5;58.099998474121094;50.0;15.300000190734863;2.7;6;1438
62.1;1569184740000;23 сент. 2019 г.;01:39;499;21.5;58.099998474121094;49.900001525878906;15.300000190734863;2.7;6;1438
62.7;1569270960000;24 сент. 2019 г.;01:36;493;21.7;57.79999923706055;50.20000076293945;15.699999809265137;2.7;6;1447
62.0;1569444480000;26 сент. 2019 г.;01:48;501;21.5;58.20000076293945;49.900001525878906;15.199999809265137;2.7;6;1436
62.3;1569488400000;26 сент. 2019 г.;14:00;486;21.6;58.099998474121094;50.099998474121094;15.300000190734863;2.7;6;1441
